No,TestSize,Precision,Recall,Accuracy,F1,Model
153,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
154,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
155,0.2,0.8361823361823362,1.0,0.885401096163428,0.9107835531419705,lstm
156,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
157,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
158,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
159,0.3,0.9558011049723757,0.4959862385321101,0.6946843853820598,0.6530766326915818,lsvc
160,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
161,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
162,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
163,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
164,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
165,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
166,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
167,0.3,0.871131119864941,0.8876146788990825,0.8588039867109635,0.8792956546435671,lstm
168,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
169,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
170,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
171,0.4,0.8747433264887063,0.9169177787343952,0.8759033142287566,0.8953341740226985,lsvc
172,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
173,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
174,0.4,1.0,1.0,1.0,1.0,rf
175,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
176,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
177,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
178,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
179,0.4,0.8476190476190476,0.9961256995264743,0.8940941938699227,0.9158915495745101,lstm
180,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
181,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
182,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
183,0.2,0.9265734265734266,0.6771720613287905,0.7797708021923269,0.78248031496063,lsvc
184,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
185,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
186,0.2,1.0,1.0,1.0,1.0,rf
187,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
188,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
189,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
190,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
191,0.2,0.8626577579806979,0.989778534923339,0.9018435475834579,0.9218564061880206,lstm
192,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
193,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
194,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
195,0.3,0.8805555555555555,0.9088302752293578,0.8757475083056478,0.8944695259593679,lsvc
196,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
197,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
198,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
199,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
200,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
201,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
202,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
203,0.3,0.8511469009272816,1.0,0.8986710963455149,0.9195887160558924,lstm
204,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
205,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
206,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
207,0.4,0.8715220949263502,0.9169177787343952,0.8736606030401196,0.8936438011327879,lsvc
208,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
209,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
210,0.4,1.0,1.0,1.0,1.0,rf
211,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
212,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
213,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
214,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
215,0.4,0.8441133720930233,1.0,0.8930974333416397,0.9154679802955665,lstm
216,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
217,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
218,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
219,0.2,0.8446043165467626,1.0,0.8923766816143498,0.9157566302652107,lsvc
220,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
221,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
222,0.2,1.0,1.0,1.0,1.0,rf
223,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
224,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
225,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
226,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
227,0.2,0.8562043795620438,0.9991482112436116,0.9013452914798207,0.9221698113207547,lstm
228,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
229,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
230,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
231,0.3,0.9584631360332295,0.529243119266055,0.713953488372093,0.6819357222016993,lsvc
232,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
233,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
234,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
235,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
236,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
237,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
238,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
239,0.3,0.8388648388648389,1.0,0.8887043189368771,0.912372482343709,lstm
240,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
241,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
242,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
243,0.4,0.8374188896899784,1.0,0.8876152504360827,0.9115165783794389,lsvc
244,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
245,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
246,0.4,1.0,1.0,1.0,1.0,rf
247,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
248,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
249,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
